Titulo,Link
" Do diagnóstico à reabilitação, inteligência artificial ajuda pacientes de AVC  Pesquisadores brasileiros buscam aplicativos para rastrear e prever complicações; tecnologias já existentes permitem reduzir exames e internações     Saiba quais são os principais sinais de AVC e como tratar     ","https://saude.estadao.com.br/noticias/geral,do-diagnostico-a-reabilitacao-inteligencia-artificial-ajuda-os-pacientes-de-avc,70003850174"
"Petrobras alega risco de 'falha catastrófica' e desliga usina, apesar de pressão do ONS","https://economia.estadao.com.br/noticias/geral,petrobras-alega-risco-de-falha-catastrofica-e-ignora-pressao-do-ons-para-manter-usina-ligada,70003850151"
Ming: 'Os idosos chamados a sustentar filhos e netos com o agravamento da economia',"https://economia.estadao.com.br/noticias/geral,os-idosos-chamados-a-sustentar-filhos-e-netos,70003850093"
"5 investimentos com a segurança da poupança, mas melhor rendimento",https://einvestidor.estadao.com.br/investimentos/cinco-investimentos-seguranca-pupanca-rendimento/
"Alckmin dá início a pré-campanha ao lado de França, Kassab e Skaf","https://politica.estadao.com.br/noticias/geral,alckmin-da-inicio-a-pre-campanha-para-2022-ao-lado-de-kassab-skaf-e-franca,70003850433"
"Progressistas é a sigla 'mais perto' de filiar Bolsonaro, diz Ciro Nogueira","https://politica.estadao.com.br/noticias/geral,para-ciro-nogueira-progressistas-ainda-e-o-partido-mais-perto-de-filiar-bolsonaro-para-2022,70003850536"
PF recupera garrafas de vinho francês furtadas de adega do Itamaraty,https://politica.estadao.com.br/blogs/fausto-macedo/pf-recupera-duas-garrafas-de-vinho-frances-furtadas-da-adega-do-itamaraty/
"Se nunca encontrou colegas de trabalho pessoalmente, vocês trabalharam juntos?","https://link.estadao.com.br/noticias/cultura-digital,se-voce-nunca-encontrou-seus-colegas-de-trabalho-pessoalmente-voces-trabalharam-mesmo-juntos,70003849808"
Como o exercício físico ajuda a manter sua memória aguçada,"https://internacional.estadao.com.br/noticias/nytiw,ciencia-estudo-exercicio-fisico-ajuda-cerebro,70003835684"
Pandemia fez ingleses preferirem passar férias de verão mais perto de casa,"https://internacional.estadao.com.br/noticias/nytiw,pandemia-coronavirus-ferias-ingleses-staycation,70003845400"
Site utiliza título sensacionalista sobre morte de vacinados contra a covid,https://politica.estadao.com.br/blogs/estadao-verifica/titulo-sensacionalista-mortes-covid/
Trem leva turistas ao Vale das Frutas e resgata passado ferroviário de SP,"https://sao-paulo.estadao.com.br/noticias/geral,novo-trem-leva-turistas-ao-vale-das-frutas-e-resgata-passado-ferroviario-de-sp,70003850117"
Lei obriga síndico a denunciar casos de violência doméstica,"https://brasil.estadao.com.br/noticias/geral,lei-obriga-sindico-a-denunciar-violencia-domestica-predio-usa-botao-de-socorro,70003850142"
Taleban pendura corpos de supostos sequestradores em cidade no Afeganistão,"https://internacional.estadao.com.br/noticias/geral,taleban-pendura-corpos-de-supostos-sequestradores-em-cidade-no-afeganistao,70003850560"
Ranking das 10 melhores vinícolas do mundo inclui 5 latino-americanas; veja a lista completa,"https://paladar.estadao.com.br/noticias/bebida,cinco-vinicolas-latino-americanas-escolhidas-entre-as-10-melhores-do-mundo,70003849698"
'A Fazenda': Record apura acusação contra Nego do Borel por abuso sexual,"https://emais.estadao.com.br/noticias/tv,a-fazenda-record-apura-acusacao-de-abuso-sexual-por-nego-do-borel,70003850461"
'Manhattan Connection' deixa a TV Cultura após menos de um ano,"https://cultura.estadao.com.br/noticias/televisao,manhattan-connection-deixa-a-tv-cultura-apos-menos-de-um-ano,70003850485"
Ministério da Defesa viu risco de punição a militares em 'nova LSN',"https://politica.estadao.com.br/noticias/geral,defesa-viu-risco-de-punicao-a-militares-em-nova-lsn,70003850127"
