Titulo,Link
" Ministério aprova vacinação de profissionais da saúde com 3ª dose contra covid  Medida vale para quem tomou a 2ª dose há mais de seis meses; segundo Queiroga, imunizante a ser aplicado deverá ser, preferencialmente, o da Pfizer     Brasil registra 680 mortes por covid em 24 horas; média móvel cresce pelo terceiro dia       País atinge 40% da população com vacinação completa contra a covid-19     ","https://saude.estadao.com.br/noticias/geral,queiroga-anuncia-vacinacao-com-3-dose-para-profissionais-de-saude,70003849911"
"Agora no PSB, Tabata defende união com a direita: 'Precisamos de um projeto de País'","https://politica.estadao.com.br/noticias/geral,agora-no-psb-tabata-evita-declarar-apoio-a-lula-e-defende-uniao-com-a-direita,70003849957"
Ranking das 10 melhores vinícolas do mundo inclui 5 latino-americanas; veja a lista,"https://paladar.estadao.com.br/noticias/bebida,cinco-vinicolas-latino-americanas-escolhidas-entre-as-10-melhores-do-mundo,70003849698"
Partido de Merkel ganha força na reta final das eleições na Alemanha,"https://internacional.estadao.com.br/noticias/geral,partido-de-merkel-ganha-forca-na-reta-final-das-eleicoes-na-alemanha,70003850013"
Alexandre Garcia é demitido da CNN após defender o 'kit covid',"https://cultura.estadao.com.br/noticias/televisao,alexandre-garcia-e-demitido-da-cnn-apos-defender-tratamento-precoce,70003850057"
"Bolsa cai 0,7% após Evergrande não pagar dívida nos EUA; dólar sobe","https://economia.estadao.com.br/noticias/mercados,cotacao-dolar-bolsa-de-valores-24-09-2021,70003849614"
Líder do Taleban fala em retorno de punições violentas e execuções,"https://internacional.estadao.com.br/noticias/geral,lider-do-taleban-fala-em-retorno-de-punicoes-violentas-e-execucoes-no-afeganistao,70003849851"
Minha máscara me protege se ninguém mais estiver usando uma?,"https://saude.estadao.com.br/noticias/geral,minha-mascara-me-protege-se-ninguem-mais-estiver-usando-uma,70003849360"
Testes genéticos ajudam na escolha de remédios contra ansiedade e depressão,"https://saude.estadao.com.br/noticias/geral,teste-genetico-remedio-ansiedade-depressao,70003848720"
Fiocruz aponta tendência de queda em casos de síndrome respiratória grave,"https://saude.estadao.com.br/noticias/geral,casos-de-sindrome-respiratoria-apresentam-tendencia-de-queda-no-pais-aponta-fiocruz,70003849901"
É enganosa conexão entre ivermectina e controle da covid em estado da Índia,https://politica.estadao.com.br/blogs/estadao-verifica/enganoso-ivermectina-covid-uttarpradesh/
"Desoneração da folha reduziria novo Bolsa Família para R$ 275, diz Funchal","https://economia.estadao.com.br/noticias/geral,desoneracao-da-folha-tomaria-r-25-do-novo-bolsa-familia-de-r-300-diz-secretario-do-tesouro,70003850034"
Cartunista Ota é encontrado morto em seu apartamento no Rio,"https://cultura.estadao.com.br/noticias/geral,cartunista-ota-e-encontrado-morto-em-seu-apartamento,70003849950"
Brexit: Britânicos fazem filas em postos temendo escassez de gasolina,"https://internacional.estadao.com.br/noticias/geral,britanicos-fazem-filas-em-postos-temendo-escassez-de-gasolina-causada-pelo-brexit,70003849845"
Biden diz que violência na fronteira é ultrajante e promete medidas,"https://internacional.estadao.com.br/noticias/geral,biden-diz-que-violencia-na-fronteira-contra-haitianos-e-ultrajante-e-promete-medidas,70003849912"
Djokovic é fotografado ao lado de ex-comandante acusado de genocídio,"https://esportes.estadao.com.br/noticias/tenis,novak-djokovic-e-fotografado-ao-lado-de-ex-comandante-acusado-de-genocidio-na-bosnia,70003849717"
Nem desconto de 20% no preço da oferta garante estreia da Bluefit na Bolsa,"https://economia.estadao.com.br/noticias/negocios,nem-desconto-de-20-no-preco-da-oferta-garante-estreia-da-bluefit-na-bolsa,70003850058"
Governo do Pará vê como inadmissível queima de madeira por Belo Monte,"https://sustentabilidade.estadao.com.br/noticias/geral,governo-do-para-diz-que-e-inadmissivel-queima-de-madeira-por-belo-monte-e-quer-destinacao-social,70003849958"
IPCA: Entenda como a inflação impacta seus investimentos,https://einvestidor.estadao.com.br/investimentos/ipca-inflacao-investimentos-impacto/
