Titulo,Link
Documentos apreendidos pela PF indicam que compra da Covaxin não tinha garantia,https://g1.globo.com/politica/cpi-da-covid/noticia/2021/09/24/contrato-para-compra-da-vacina-covaxin-nao-tinha-garantia-do-fabricante-apontam-documentos.ghtml
"Luciano Hang financiou blogueiro com ajuda de Eduardo Bolsonaro, indica CPI",https://g1.globo.com/politica/noticia/2021/09/24/documentos-obtidos-pela-cpi-mostram-que-hang-financiou-blogueiro-acusado-por-fake-news-com-ajuda-de-eduardo-bolsonaro.ghtml
Vídeo e mensagens mostram pressão da Prevent por uso do 'kit Covid',https://g1.globo.com/jornal-nacional/noticia/2021/09/24/medicos-afirmam-que-eram-pressionados-pela-prevent-a-receitar-medicamentos-sem-eficacia-contra-covid.ghtml
Mais de 40% da população está totalmente imunizada contra Covid,https://g1.globo.com/bemestar/vacina/noticia/2021/09/24/vacinacao-contra-a-covid-40percent-da-populacao-brasileira-esta-totalmente-imunizada.ghtml
Média móvel de mortes por Covid no Brasil cresce pelo 3º dia,https://g1.globo.com/saude/coronavirus/noticia/2021/09/24/brasil-completa-11-dias-com-media-movel-de-mortes-por-covid-acima-de-500-tendencia-e-de-alta-pelo-3o-dia.ghtml
PF vê indícios de 'pressão' para favorecer empresa na gestão de Barros na Saúde ,https://g1.globo.com/politica/noticia/2021/09/24/pf-diz-a-justica-que-ve-pressao-da-gestao-de-ricardo-barros-na-saude-para-favorecer-empresa.ghtml
Michelle Bolsonaro se vacina nos EUA; infectologistas veem 'desprezo' ao SUS ,https://g1.globo.com/politica/noticia/2021/09/24/bolsonaro-diz-que-michelle-se-vacinou-nos-eua-politicos-e-infectologistas-veem-absurdo-e-desprezo-ao-sus.ghtml
"Como compartilhar vídeos, ativar modo escuro e outras funções no app do g1",https://g1.globo.com/tecnologia/noticia/2021/09/24/novidades-no-app-do-g1-veja-como-compartilhar-videos-ativar-modo-escuro-e-usar-outras-funcoes.ghtml
"Associação diz que Uber excluiu 15 mil motoristas; empresa fala em 1,6 mil",https://g1.globo.com/economia/noticia/2021/09/24/uber-exclui-mais-de-15-mil-motoristas-por-cancelamento-constante-de-corridas-diz-associacao.ghtml
Conta de luz: tarifa social vai continuar com bandeira vermelha 2,https://g1.globo.com/economia/noticia/2021/09/24/conta-de-luz-da-tarifa-social-continua-com-bandeira-vermelha-2-em-outubro-informa-aneel.ghtml
