Titulo,Link
 Pandemia de coronavírus Ministério da Saúde aprova dose de reforço para profissionais de saúde  Queiroga diz que serão aplicadas preferencialmente doses da vacina da Pfizer ,https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/09/24/ministerio-aprova-dose-de-reforco-para-profissionais-de-saude.htm
"    Poderia ser imunizada em julho  Michelle Bolsonaro tomou vacina nos EUA porque médico sugeriu, diz governo   ",https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/09/24/michelle-bolsonaro-tomou-vacina-nos-eua-porque-medico-sugeriu-diz-governo.htm
    Indicação ao STF  Pacheco cobra de Alcolumbre a sabatina de Mendonça: 'Fazer o quanto antes'   ,https://noticias.uol.com.br/politica/ultimas-noticias/2021/09/24/pacheco-alcolumbre-sabatina-andre-mendonca.htm
"    Filho de Bolsonaro investigado  MP aponta relação de Queiroz, suspeito de 'rachadinhas', com Carlos Bolsonaro   ",https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2021/09/24/mp-aponta-relacao-de-queiroz-suspeito-de-rachadinhas-com-carlos-bolsonaro.htm
"    Convocação para Eliminatórias  Renato M. Prado: Sem necessidade, Tite e CBF esculhambam de vez o calendário   ",https://www.uol.com.br/esporte/futebol/colunas/renato-mauricio-prado/2021/09/24/sem-necessidade-tite-e-a-cbf-esculhambam-o-calendario.htm
    SBT e Globo estavam na disputa  Record no Paulista por 4 anos infla renda de times de São Paulo e trava calendário   ,https://www.uol.com.br/esporte/futebol/colunas/rodrigo-mattos/2021/09/24/acordo-da-record-no-paulista-infla-renda-de-times-de-sp-e-trava-calendario.htm
    Jornalismo na TV  Alexandre Garcia é demitido da CNN após defender tratamento precoce contra covid   ,https://tvefamosos.uol.com.br/noticias/redacao/2021/09/24/alexandre-garcia-e-demitido-da-cnn-apos-ser-desmentido-no-ar.htm
    Diagnosticado com covid Eduardo Bolsonaro cita tosse e cansaço e indica que está usando cloroquina  ,https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/09/24/eduardo-bolsonaro-cita-tosse-e-cansaco-e-indica-que-esta-usando-cloroquina.htm
    Tricampeão mundial Família Medina põe prédio de Instituto à venda por R$ 10 mi e expõe racha  ,https://www.uol.com.br/esporte/colunas/olhar-olimpico/2021/09/24/familia-medina-poe-predio-de-instituto-a-venda-por-r-10-mi-e-expoe-racha.htm
"    Reunião do Quad  Estados Unidos, Índia, Japão e Austrália ampliam frentes de ação contra China  ",https://www1.folha.uol.com.br/mundo/2021/09/eua-india-japao-e-australia-ampliam-frentes-de-acao-contra-a-china.shtml
    Suspeita é presa Noivos são internados em Minas após envenenamento na véspera do casamento  ,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/09/24/noivos-sao-internados-apos-comer-presente-antes-do-casamento-em-mg.htm
    A Fazenda 13  O que Liziane fez no rosto e como equipe tentou salvá-la de ataque à imagem   ,https://tvefamosos.uol.com.br/noticias/redacao/2021/09/24/o-que-liziane-fez-no-rosto-e-como-equipe-tentou-salva-la-de-ataque-a-imagem.htm
"    Roberto Sadovski  Opinião: 'Visions' prova que tudo, até 'Star Wars', fica muito melhor como anime   ",https://www.uol.com.br/splash/colunas/roberto-sadovski/2021/09/24/visions-prova-que-tudo-ate-star-wars-fica-muito-melhor-como-anime.htm
    Tricolor reclama de escudo  Tênis da Adidas vetado pelo São Paulo aparece à venda e irrita o clube   ,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2021/09/24/tenis-da-adidas-vetado-pelo-sao-paulo-aparece-a-venda-e-irrita-o-clube.htm
    Mercado automotivo   Ford Transit retorna ao Brasil após 7 anos e quer conectividade como trunfo   ,https://www.uol.com.br/carros/noticias/redacao/2021/09/24/ford-transit-retorna-ao-brasil-apos-7-anos-e-quer-conectividade-como-trunfo.htm
    Pressão por troca de técnico  Lenda do clube e carrasco do Brasil: as ameaças ao cargo de Koeman no Barça   ,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2021/09/24/lenda-do-clube-e-carrasco-do-brasil-as-ameacas-ao-cargo-de-koeman-no-barca.htm
    Ministro do STF Insulto a Moraes em clube de SP vira inquérito sigiloso e tem silêncio de envolvidos  ,https://www1.folha.uol.com.br/poder/2021/09/insulto-a-moraes-em-clube-de-sp-vira-inquerito-sigiloso-e-tem-silencio-de-envolvidos.shtml
    Bicampeão mundial da F-1 Justiça penhora 14 veículos de Fittipaldi por dívida de R$ 416 mil  ,https://www1.folha.uol.com.br/colunas/rogeriogentile/2021/09/justica-penhora-14-veiculos-de-emerson-fittipaldi-por-divida-de-r-416-mil.shtml
    Cultura e pandemia Secretário Mario Frias quer vetar passaporte da vacina em museus ligados ao governo  ,https://www1.folha.uol.com.br/ilustrada/2021/09/mario-frias-quer-vetar-passaporte-da-vacina-em-museus-ligados-ao-governo.shtml
    Spencer Elden 'Bebê do Nirvana' exige retirada da capa de Nevermind em novas versões  ,https://www.uol.com.br/splash/noticias/2021/09/24/nevermind-nirvana-30-anos-capa-bebe-na-piscina.htm
